"Name","Link","Floor","7D Sales","Vol.","NA","XP Rank"
"Pudgy Penguins","https://opensea.io/collection/pudgypenguins","8.926 ETH","334","3,032.06 ETH",NA,1
"Kaito Genesis","https://opensea.io/collection/kaito-genesis","3.39 ETH","773","2,565.19 ETH",NA,2
"Doodles","https://opensea.io/collection/doodles-official","3.7373 ETH","258","975.52 ETH",NA,3
"Milady Maker","https://opensea.io/collection/milady","3.82 ETH","228","885.29 ETH",NA,4
"Bored Ape Yacht Club","https://opensea.io/collection/boredapeyachtclub","13.8498 ETH","64","867.52 ETH",NA,5
"Wealthy Hypio Babies","https://opensea.io/collection/hypio","1.0247 ETH","819","779.66 ETH",NA,6
"Lil Pudgys","https://opensea.io/collection/lilpudgys","0.94 ETH","786","717.93 ETH",NA,7
"Azuki","https://opensea.io/collection/azuki","2.88 ETH","211","638.23 ETH",NA,8
"Gemesis","https://opensea.io/collection/gemesis","0.0438 ETH","11,482","636.57 ETH",NA,9
"OCH Genesis Ring","https://opensea.io/collection/och-genesis-ring","1.389 ETH","386","459.92 ETH",NA,10
"Mutant Ape Yacht Club","https://opensea.io/collection/mutant-ape-yacht-club","2.125 ETH","165","360.77 ETH",NA,11
"Memeland Captainz","https://opensea.io/collection/memelandcaptainz","1.104 ETH","243","328.69 ETH",NA,12
"Meebits","https://opensea.io/collection/meebits","0.93 ETH","303","281.25 ETH",NA,13
"Azuki Elementals","https://opensea.io/collection/azukielementals","0.2729 ETH","551","191.58 ETH",NA,14
"Redacted Remilio Babies","https://opensea.io/collection/remilio-babies","0.7588 ETH","191","148.49 ETH",NA,15
"Jirasan","https://opensea.io/collection/jirasan","0.40 ETH","308","131.91 ETH",NA,16
"The Band Bears","https://opensea.io/collection/the-band-bears","12.00 ETH","14","112.75 ETH",NA,17
"Mocaverse","https://opensea.io/collection/mocaverse","2.05 ETH","50","101.23 ETH",NA,18
"MEMORIA - AL","https://opensea.io/collection/memoria-al","0.177 ETH","310","94.15 ETH",NA,19
"MetaWinners","https://opensea.io/collection/metawinners-1","0.112 ETH","524","92.38 ETH",NA,20
"Creepz by OVERLORD","https://opensea.io/collection/genesis-creepz","1.8877 ETH","46","84.76 ETH",NA,21
"Oracle Patron NFT","https://opensea.io/collection/oracle-patron-nft","0.2075 ETH","403","80.63 ETH",NA,22
"Pudgy Rods","https://opensea.io/collection/pudgyrods","0.392 ETH","190","75.73 ETH",NA,23
"Memeland Potatoz","https://opensea.io/collection/memelandpotatoz","0.4024 ETH","176","71.41 ETH",NA,24
"Wrapped Cryptopunks","https://opensea.io/collection/wrapped-cryptopunks","39.99 ETH","2","65.50 ETH",NA,25
"Chromie Squiggle by Snowfro","https://opensea.io/collection/chromie-squiggle-by-snowfro","4.59 ETH","13","67.28 ETH",NA,26
"BEANZ Official","https://opensea.io/collection/beanzofficial","0.1446 ETH","416","66.38 ETH",NA,27
"Dooplicator","https://opensea.io/collection/the-dooplicator","0.2039 ETH","301","65.33 ETH",NA,28
"Project AEON","https://opensea.io/collection/project-aeon","0.5969 ETH","106","62.72 ETH",NA,29
"VeeFriends","https://opensea.io/collection/veefriends","1.2237 ETH","33","61.20 ETH",NA,30
"bullas","https://opensea.io/collection/bullas-5","36.80 BERA","695","25.2K BERA",NA,31
"Otherside Koda","https://opensea.io/collection/otherside-koda","0.9896 ETH","55","60.30 ETH",NA,32
"K-16 a.k.a KARU","https://opensea.io/collection/karu-16","0.219 ETH","474","58.10 ETH",NA,33
"Parallel Avatars","https://opensea.io/collection/parallel-avatars","0.642 ETH","85","55.38 ETH",NA,34
"Grifters","https://opensea.io/collection/grifters-by-xcopy","11.90 ETH","5","57.74 ETH",NA,35
"Exit Vectors by Keke","https://opensea.io/collection/keke-genesis-exit-vectors","1.00 ETH","58","53.22 ETH",NA,36
"Pirate Nation - Founder's Pirates","https://opensea.io/collection/piratenation","0.544 ETH","110","53.38 ETH",NA,37
"Sappy Seals","https://opensea.io/collection/sappy-seals","0.6665 ETH","85","53.49 ETH",NA,38
"Sproto Gremlins","https://opensea.io/collection/sproto-gremlins","1.0986 ETH","51","52.30 ETH",NA,39
"Otherdeed Expanded","https://opensea.io/collection/otherdeed-expanded","0.14 ETH","247","49.00 ETH",NA,40
"DigiDaigaku Genesis","https://opensea.io/collection/digidaigaku","2.7035 ETH","19","42.04 ETH",NA,41
"Moonbirds","https://opensea.io/collection/proof-moonbirds","0.416 ETH","94","38.34 ETH",NA,42
"Honey Comb","https://opensea.io/collection/honey-comb-2","0.1399 ETH","281","38.31 ETH",NA,43
"Burrrs Print","https://opensea.io/collection/burrrs-print-2","6.14 BERA","1,485","13.6K BERA",NA,44
"Wink Realm Packs","https://opensea.io/collection/wink-realm-packs","4.145 AVAX","1,528","4,083.99 AVAX",NA,45
"Bored Ape Kennel Club","https://opensea.io/collection/bored-ape-kennel-club","0.5199 ETH","72","36.04 ETH",NA,46
"Soneium Venari Container - Praelis","https://opensea.io/collection/soneium-venari-container","0.005 ETH","1,435","2.68 ETH",NA,47
"Fableborne Primordials","https://opensea.io/collection/fableborne-primordials-20","0.601 ETH","56","34.98 ETH",NA,48
"Pixels - Farm Land","https://opensea.io/collection/pixels-farm","0.4389 ETH","55","33.84 ETH",NA,49
